algorithm,vocab_size_target,vocab_size_actual,text,token_count,unique_tokens,vocab_size,vocab_utilization,compression_ratio,fertility,avg_token_length,unk_count,unk_rate,continuation_rate,speed,time_sec,roundtrip_fidelity
bpe,32000,32000,Tahir Hakim.txt,5791,1285,32000,4.015625,3.1110343636677604,1.4929105439546275,3.3061647383871526,1252,21.619754791918496,0.0,238337.27749668004,0.024297500000102445,No
bpe,32000,32000,liberal capitalism.txt,8081,1028,32000,3.2125,2.9599059522336346,1.6046465448768865,3.182898156168791,1724,21.333993317658706,0.0,380859.46704840247,0.021217800000158604,No
bpe,64000,64000,Tahir Hakim.txt,5673,1297,64000,2.0265625,3.1757447558610963,1.462490332559938,3.3749338974087784,1252,22.069451789176803,0.0,338937.4820222023,0.01673760000267066,No
bpe,64000,64000,liberal capitalism.txt,7910,1012,64000,1.58125,3.0238938053097346,1.5706910246227164,3.2517067003792666,1724,21.79519595448799,0.0,377865.0385952527,0.02093340000283206,No
bpe,80000,80000,Tahir Hakim.txt,5648,1295,80000,1.6187500000000001,3.189801699716714,1.4560453725186904,3.389872521246459,1252,22.1671388101983,0.0,269149.75744383375,0.020984599999792408,No
bpe,80000,80000,liberal capitalism.txt,7806,1003,80000,1.25375,3.0641813989239046,1.5500397140587767,3.295029464514476,1724,22.085575198565206,0.0,330975.88285838056,0.023584799993841443,No
bpe,128000,128000,Tahir Hakim.txt,5608,1289,128000,1.00703125,3.212553495007133,1.445733436452694,3.414051355206847,1252,22.325249643366618,0.0,326517.3039744202,0.017175200002384372,No
bpe,128000,128000,liberal capitalism.txt,7737,990,128000,0.7734375,3.09150833656456,1.5363383637807784,3.324415147990177,1724,22.282538451596228,0.0,351964.99000392295,0.021982300000672694,No
wordpiece,32000,32000,Tahir Hakim.txt,4412,1123,32000,3.509375,4.083408884859474,1.137406548079402,3.889165911151405,1209,27.40253853127833,4.759746146872167,304938.3143164106,0.01446849999774713,No
wordpiece,32000,32000,liberal capitalism.txt,6015,918,32000,2.86875,3.976558603491272,1.1944003177124702,3.889941812136326,1678,27.896924355777227,7.032418952618453,314315.87305868283,0.019136800001433585,No
wordpiece,64000,64000,Tahir Hakim.txt,4321,1117,64000,1.7453125,4.169405230270771,1.11394689352926,3.928951631566767,1209,27.97963434390188,2.753992131451053,308609.791814148,0.014001499999722,No
wordpiece,64000,64000,liberal capitalism.txt,5879,899,64000,1.4046875,4.068549072971594,1.1673947577442414,3.9336621874468447,1678,28.542269093383226,4.881782616091172,318681.25908284885,0.018447900001774542,No
wordpiece,80000,80000,Tahir Hakim.txt,4292,1113,80000,1.3912499999999999,4.19757688723206,1.1064707398814126,3.941985088536813,1209,28.16868592730662,2.096924510717614,310519.46170969744,0.013822000000800472,No
wordpiece,80000,80000,liberal capitalism.txt,5783,896,80000,1.1199999999999999,4.136088535362268,1.148332009531374,3.965761715372644,1678,29.016081618537093,3.302784022133841,265136.5800207484,0.021811399994476233,No
wordpiece,128000,128000,Tahir Hakim.txt,4262,1101,128000,0.86015625,4.227123416236509,1.0987367878319154,3.9556546222430784,1209,28.366963866729233,1.4077897700610043,295046.10523513186,0.014445200002228376,No
wordpiece,128000,128000,liberal capitalism.txt,5714,881,128000,0.68828125,4.186034301715086,1.1346306592533757,3.9894994749737487,1678,29.36646832341617,2.135106755337767,289958.0337044083,0.01970630000141682,No
sentencepiece,32000,32000,Tahir Hakim.txt,7178,1323,32000,4.1343749999999995,2.5098913346336027,1.8504769270430523,4.4286709389802175,0,0.0,45.95987740317638,802208.3639867541,0.008947800000896677,Yes
sentencepiece,32000,32000,liberal capitalism.txt,10008,1102,32000,3.44375,2.3899880095923263,1.9872915011914218,4.279576338928857,0,0.0,49.680255795363706,1405440.3232369034,0.007120900001609698,Yes
sentencepiece,64000,64000,Tahir Hakim.txt,7075,1332,64000,2.0812500000000003,2.5464310954063603,1.8239236916731116,4.493144876325088,0,0.0,45.17314487632509,1249889.5859316983,0.005660499999066815,Yes
sentencepiece,64000,64000,liberal capitalism.txt,9715,1101,64000,1.7203125,2.462068965517241,1.9291104050833996,4.408646423057128,0,0.0,48.16263510036027,1272813.0271429406,0.007632700006070081,Yes
sentencepiece,80000,80000,Tahir Hakim.txt,7045,1338,80000,1.6725,2.5572746628814764,1.8161897396236144,4.512278211497516,0,0.0,44.939673527324345,1236724.303533772,0.005696500003978144,Yes
sentencepiece,80000,80000,liberal capitalism.txt,9681,1101,80000,1.37625,2.470715835140998,1.9223590150913423,4.424129738663361,0,0.0,47.98058051854147,1184162.243052612,0.00817539999843575,Yes
sentencepiece,128000,128000,Tahir Hakim.txt,6996,1340,128000,1.046875,2.5751858204688394,1.8035576179427688,4.54388221841052,0,0.0,44.554030874785596,1191335.740616834,0.0058723999973153695,Yes
sentencepiece,128000,128000,liberal capitalism.txt,9626,1107,128000,0.86484375,2.4848327446499066,1.9114376489277205,4.4494078537294826,0,0.0,47.68335757323914,1177722.8573959006,0.008173399997758679,Yes
